#Organism/Name	Strain	CladeID	BioSample	BioProject	Group	SubGroup	Assembly	Size (Mb)	GC%	Replicons	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Level	RefSeq FTP	GenBank FTP
Prochlorococcus marinus subsp. marinus str. CCMP1375	CCMP1375; SS120	19186	SAMN02603142 	PRJNA419	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000007925.1 	1.75108	36.4	chromosome:NC_005042.1/AE017126.1	-	1	1930	1882	2003/07/25	2016/08/03	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000007925.1_ASM792v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000007925.1_ASM792v1
Synechococcus elongatus PCC 6301	PCC 6301	19206	SAMD00061073 	PRJNA13282	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000010065.1 	2.69625	55.5	chromosome:NC_006576.1/AP008231.1	-	1	2663	2576	2004/12/14	2016/10/07	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000010065.1_ASM1006v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000010065.1_ASM1006v1
Microcystis aeruginosa NIES-843	NIES-843	19214	SAMD00060936 	PRJDA27835	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000010625.1 	5.84279	42.3	chromosome:NC_010296.1/AP009552.1	-	1	5484	5120	2008/01/25	2016/10/07	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000010625.1_ASM1062v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000010625.1_ASM1062v1
Nostoc punctiforme PCC 73102	ATCC 29133; PCC 73102	19225	SAMN02598449 	PRJNA216	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000020025.1 	9.05919	41.3416	chromosome:NC_010628.1/CP001037.1; plasmid pNPUN01:NC_010631.1/CP001038.1; plasmid pNPUN02:NC_010632.1/CP001039.1; plasmid pNPUN03:NC_010630.1/CP001040.1; plasmid pNPUN04:NC_010633.1/CP001041.1; plasmid pNPUN05:NC_010629.1/CP001042.1	-	6	7442	6973	2008/04/24	2016/05/12	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000020025.1_ASM2002v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000020025.1_ASM2002v1
Thermosynechococcus elongatus BP-1	BP-1	19231	SAMD00061106 	PRJNA308	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000011345.1 	2.59386	53.9	chromosome:NC_004113.1/BA000039.2	-	1	2525	2476	2002/08/17	2016/10/07	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000011345.1_ASM1134v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000011345.1_ASM1134v1
Trichodesmium erythraeum IMS101	IMS101	19227	SAMN02598485 	PRJNA318	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000014265.1 	7.75011	34.1	chromosome:NC_008312.1/CP000393.1	-	1	4830	4387	2006/07/06	2016/05/13	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000014265.1_ASM1426v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000014265.1_ASM1426v1
Gloeobacter violaceus PCC 7421	PCC 7421	19180	SAMD00061120 	PRJNA9606	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000011385.1 	4.65902	62	chromosome:NC_005125.1/BA000045.2	-	1	4482	4430	2003/09/25	2016/10/07	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000011385.1_ASM1138v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000011385.1_ASM1138v1
Acaryochloris marina MBIC11017	MBIC11017	19230	SAMN02604308 	PRJNA12997	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000018105.1 	8.3616	46.9889	chromosome:NC_009925.1/CP000828.1; plasmid pREB1:NC_009926.1/CP000838.1; plasmid pREB2:NC_009927.1/CP000839.1; plasmid pREB3:NC_009928.1/CP000840.1; plasmid pREB4:NC_009929.1/CP000841.1; plasmid pREB5:NC_009930.1/CP000842.1; plasmid pREB6:NC_009931.1/CP000843.1; plasmid pREB7:NC_009932.1/CP000844.1; plasmid pREB8:NC_009933.1/CP000845.1; plasmid pREB9:NC_009934.1/CP000846.1	-	10	7460	7179	2007/10/16	2016/05/12	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000018105.1_ASM1810v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000018105.1_ASM1810v1
Nodularia spumigena CCY9414	CCY9414	19224	SAMN01915661 	PRJNA185469	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000340565.3 	5.46227	41.2	chromosome:NZ_CP007203.1/CP007203.2	-	1	4718	4510	2014/02/14	2015/08/02	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000340565.2_ASM34056v3	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000340565.3_ASM34056v3
Arthrospira platensis NIES-39	NIES-39	19229	SAMD00060970 	PRJDA42161	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000210375.1 	6.78843	44.3	chromosome:NC_016640.1/AP011615.1	-	1	6044	5590	2010/03/26	2016/10/07	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000210375.1_ASM21037v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000210375.1_ASM21037v1
